time,_SHOULDER_RIGHT_PITCH,_SHOULDER_LEFT_PITCH,_NECK_UNIQUE_ROLL,_NECK_UNIQUE_YAW,_NECK_UNIQUE_PITCH,_ARML_UPPER_ROLL,_ARML_UPPER_YAW,_ARML_MIDDLE_PITCH,_ARML_MIDDLE_YAW,_ARML_EDGE_ROLL,_ARMR_UPPER_ROLL,_ARMR_UPPER_YAW,_ARMR_MIDDLE_PITCH,_ARMR_MIDDLE_YAW,_ARMR_EDGE_ROLL,_HANDL_THUMB_PITCH,_HANDL_INDEX_PITCH,_HANDL_MIDDLE_PITCH,_HANDL_RING_PITCH,_HANDL_LITTLE_PITCH,_HANDR_THUMB_PITCH,_HANDR_INDEX_PITCH,_HANDR_MIDDLE_PITCH,_HANDR_RING_PITCH,_HANDR_LITTLE_PITCH,_HEADL_OPHRYON_VERT,_HEADL_EYELIDU_VERT,_HEADL_EYELIDD_VERT,_HEADL_FACER_TENSE,_HEADL_FACEL_TENSE,_HEADC_EYEBROWR_VERT,_HEADC_EYEBROWL_VERT,_HEADC_EYER_YAW,_HEADC_EYEL_YAW,_HEADC_EYES_PITCH,_HEADR_LIPUP_REACH,_HEADR_LIPDOWN_REACH,_HEADR_MOUTHR_OPEN,_HEADR_MOUTHL_OPEN,_HEADR_CHIN_ROLL,_HIP_UNIQUE_PITCH,_HIP_UNIQUE_ROLL,_HIP_UNIQUE_YAW,_WHEEL_UNIQUE_VERT,_WHEEL_UNIQUE_STEEL,_WHEEL_UNIQUE_SPEED,_WHEEL_UNIQUE_BREAK,_ADD,_ADD,_ADD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,-0.82511215208,-1.0108130162,0,0,0,0.0526879502429,1.76868180766,-0.130469757512,0,0,-0.537340824466,1.44232854356,-1.77048313375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.772428377797,-0.106608439778,0,0,0,0,0,0,0
0.5,-0.73169330159,-0.966984505377,0,0,0,0.0901180233843,-0.498384719544,-0.287192887064,0,0,-0.397562355644,1.05763518512,-1.87565009159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.528354214033,-0.0940557864545,0,0,0,0,0,0,0
0.75,-0.691514775468,-0.938026770658,0,0,0,0.223068979813,-1.09924115838,-0.306065162414,0,0,-0.365264701977,0.888023890409,-1.90933182665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.428007900338,-0.088729161373,0,0,0,0,0,0,0
1.0,-0.664114590674,-0.792256231194,0,0,0,0.209205543518,-1.04660547112,-0.383247656035,0,0,-0.314075614914,0.83309044319,-1.90634775367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124069548548,-0.0283148318496,0,0,0,0,0,0,0
1.25,-0.68012280149,-0.658417329888,0,0,0,0.251152566323,-0.8612153597,-0.55318944024,0,0,-0.213922288205,0.800937887868,-1.82793518353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198741310878,0.0515055712873,0,0,0,0,0,0,0
1.5,-0.694715654018,-0.623288979924,0,0,0,0.309862766461,-0.57495627305,-0.776192529508,0,0,-0.183434801128,0.754934247659,-1.79295159434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359677295955,0.0821243594592,0,0,0,0,0,0,0
1.75,-0.63692022117,-0.648169156894,0,0,0,0.196223637247,-0.374866984246,-0.775227794713,0,0,-0.320577462199,0.780046799646,-1.83352500444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173363262856,0.00394015090982,0,0,0,0,0,0,0
2.0,-0.706108631831,-0.79719449383,0,0,0,0.154055134307,-0.531128154748,-0.585455302832,0,0,-0.384928132011,0.570528858778,-1.65913305785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.288903340285,-0.060908015872,0,0,0,0,0,0,0
2.25,-0.747133833454,-0.967103708787,0,0,0,0.176742460021,-0.643146322498,-0.540056879169,0,0,-0.421212060567,0.336488038388,-1.54911399311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.611566551883,-0.115627826377,0,0,0,0,0,0,0
2.5,-0.709796555602,-0.987473825346,0,0,0,0.226140264105,-0.637077837673,-0.578775318481,0,0,-0.369215184265,0.329059481191,-1.56923327068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.528524734413,-0.101043013296,0,0,0,0,0,0,0
2.75,-0.737503980607,-1.05406430102,0,0,0,0.293691856311,-0.634279559969,-0.542036323791,0,0,-0.468473760325,0.85267757945,-1.72870982464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.757810211975,-0.128375653246,0,0,0,0,0,0,0
3.0,-0.71375307949,-1.02007126014,0,0,0,0.312677262039,-1.1057305678,-0.409469848414,0,0,-0.396640453574,0.342911566567,-1.62572180067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.610053192226,-0.111254252783,0,0,0,0,0,0,0
